tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
432,9/16/2013 19:22:43,9/16/2013 19:29:55,509,9 Ave & W 22 St,40.7454973,-74.00197139,442,W 27 St & 7 Ave,40.746647,-73.993915,18447,Subscriber,1951,male,
1186,12/30/2015 13:02:38,12/30/2015 13:22:25,280,E 10 St & 5 Ave,40.73331967,-73.99510132,254,W 11 St & 6 Ave,40.73532427,-73.99800419,22598,Subscriber,1945,female,
799,9/2/2017 16:27:37,9/2/2017 16:40:57,335,Washington Pl & Broadway,40.72903917,-73.99404649,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,28833,Subscriber,1997,male,
238,11/15/2017 6:57:09,11/15/2017 7:01:08,146,Hudson St & Reade St,40.71625008,-74.0091059,387,Centre St & Chambers St,40.71273266,-74.0046073,21338,Subscriber,1998,female,
668,11/7/2013 15:12:07,11/7/2013 15:23:15,529,W 42 St & 8 Ave,40.7575699,-73.99098507,352,W 56 St & 6 Ave,40.76340613,-73.97722479,19888,Subscriber,1949,male,
593,8/25/2013 13:47:24,8/25/2013 13:57:17,470,W 20 St & 8 Ave,40.74345335,-74.00004031,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,17859,Subscriber,1939,male,
414,5/29/2018 16:33:26,5/29/2018 16:40:21,3158,W 63 St & Broadway,40.77163851,-73.98261428,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,19198,Subscriber,1952,male,
1643,2/7/2014 20:24:02,2/7/2014 20:51:25,519,Pershing Square N,40.75188406,-73.97770164,147,Greenwich St & Warren St,40.71542197,-74.01121978,18718,Subscriber,1947,male,
474,10/6/2017 12:17:06,10/6/2017 12:25:00,470,W 20 St & 8 Ave,40.74345335,-74.00004031,496,E 16 St & 5 Ave,40.73726186,-73.99238967,14823,Subscriber,1996,male,
2277,9/11/2014 5:46:58,9/11/2014 6:24:55,487,E 20 St & FDR Drive,40.73314259,-73.97573881,487,E 20 St & FDR Drive,40.73314259,-73.97573881,18116,Subscriber,1946,male,
614,5/10/2018 8:02:57,5/10/2018 8:13:12,291,Madison St & Montgomery St,40.713126,-73.984844,3489,Gold St & Frankfort St,40.71069995,-74.00354147,31363,Subscriber,1943,female,
1122,8/16/2017 7:40:27,8/16/2017 7:59:10,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,518,E 39 St & 2 Ave,40.74780373,-73.9734419,27590,Subscriber,1947,male,
838,11/3/2014 14:25:11,11/3/2014 14:39:09,457,Broadway & W 58 St,40.76695317,-73.98169333,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,20228,Subscriber,1936,male,
318,9/22/2017 6:44:27,9/22/2017 6:49:45,3255,8 Ave & W 31 St,40.75058535,-73.99468482,458,11 Ave & W 27 St,40.751396,-74.005226,15929,Subscriber,1997,male,
849,3/31/2018 14:11:49,3/31/2018 14:25:59,3137,5 Ave & E 73 St,40.77282817,-73.96685276,3292,5 Ave & E 93 St,40.7857851,-73.957481,32436,Customer,1996,male,
504,10/30/2017 14:42:18,10/30/2017 14:50:42,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,454,E 51 St & 1 Ave,40.75455731,-73.96592976,17682,Subscriber,1948,male,
1231,11/21/2013 12:05:55,11/21/2013 12:26:26,442,W 27 St & 7 Ave,40.746647,-73.993915,2004,6 Ave & Broome St,40.724399,-74.004704,17293,Subscriber,1949,male,
337,6/22/2017 10:03:45,6/22/2017 10:09:22,3297,6 St & 7 Ave,40.6686627,-73.97988067,3416,7 Ave & Park Pl,40.6776147,-73.97324283,18221,Subscriber,1999,male,
496,5/4/2016 5:52:47,5/4/2016 6:01:04,477,W 41 St & 8 Ave,40.75640548,-73.9900262,469,Broadway & W 53 St,40.76344058,-73.98268129,18731,Subscriber,1941,male,
818,9/9/2014 20:00:46,9/9/2014 20:14:24,307,Canal St & Rutgers St,40.71427487,-73.98990025,307,Canal St & Rutgers St,40.71427487,-73.98990025,18020,Subscriber,1950,male,
696,9/29/2016 18:17:16,9/29/2016 18:28:52,247,Perry St & Bleecker St,40.73535398,-74.00483091,494,W 26 St & 8 Ave,40.74734825,-73.99723551,26450,Subscriber,1952,male,
1078,12/9/2017 9:55:27,12/9/2017 10:13:25,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,33235,Subscriber,1950,male,
133,12/11/2017 16:54:19,12/11/2017 16:56:33,164,E 47 St & 2 Ave,40.75323098,-73.97032517,440,E 45 St & 3 Ave,40.75255434,-73.97282625,32092,Subscriber,1951,male,
600,10/6/2017 15:01:01,10/6/2017 15:11:02,3158,W 63 St & Broadway,40.77163851,-73.98261428,3134,3 Ave & E 62 St,40.76312584,-73.96526895,31116,Subscriber,1950,female,
389,12/20/2013 6:26:51,12/20/2013 6:33:20,391,Clark St & Henry St,40.69760127,-73.99344559,278,Concord St & Bridge St,40.69766564,-73.98476437,16500,Subscriber,1951,female,
543,6/22/2015 19:15:00,6/22/2015 19:24:00,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,478,11 Ave & W 41 St,40.76030096,-73.99884222,20797,Subscriber,1997,male,
