id,date,element,value,mflag,qflag,sflag,time
USC00026117,7/3/2015,PRCP,0,,,7,1000
USC00044025,8/30/2015,PRCP,0,,,7,0830
USC00047248,10/14/2015,PRCP,0,,,7,2000
USC00049099,5/13/2015,PRCP,0,,,7,1530
USC00049099,10/12/2015,PRCP,0,,,7,1530
USC00055970,4/11/2015,PRCP,0,,,7,0630
USC00057317,8/7/2015,PRCP,0,,,7,2000
USC00083153,7/13/2015,PRCP,0,,,7,1900
USC00087025,2/16/2015,PRCP,0,,,7,1400
USC00087025,1/28/2015,PRCP,0,,,7,1400
USC00087025,7/4/2015,PRCP,0,,,7,1400
USC00116200,11/3/2015,PRCP,0,,,7,0500
USC00117470,11/14/2015,PRCP,0,,,7,0630
USC00118293,1/12/2015,PRCP,0,T,,7,2100
USC00124613,7/13/2015,PRCP,0,,,7,0630
USC00133032,10/5/2015,PRCP,0,,,7,1030
USC00140447,9/16/2015,PRCP,0,,,7,0630
USC00141029,1/17/2015,PRCP,0,,,7,0500
USC00152442,2/8/2015,PRCP,0,,,7,1200
USC00153994,4/20/2015,PRCP,0,,,7,0630
USC00160021,11/6/2015,PRCP,0,,,7,1300
USC00196486,7/25/2015,PRCP,0,,,7,2100
USC00200361,5/9/2015,PRCP,0,,,7,0630
USC00201896,8/30/2015,PRCP,0,T,,7,0630
USC00215838,5/13/2015,PRCP,0,,,7,2230
USC00218421,8/25/2015,PRCP,0,,,7,1900
USC00220792,12/11/2015,PRCP,0,,,7,1900
USC00229743,2/27/2015,PRCP,0,,,7,0630
USC00230608,8/24/2015,PRCP,0,,,7,0500
USC00240780,3/11/2015,PRCP,0,,,7,1900
USC00243013,9/6/2015,PRCP,0,,,7,2200
USC00243530,10/14/2015,PRCP,0,,,7,1830
USC00244512,3/6/2015,PRCP,0,,,7,2300
USC00247967,11/15/2015,PRCP,0,,,7,1300
USC00255565,9/9/2015,PRCP,0,,,7,0830
USC00258480,6/6/2015,PRCP,0,,,7,0630
USC00260125,3/25/2015,PRCP,0,,,7,0830
USC00262780,1/19/2015,PRCP,0,,,7,1100
USC00290692,1/21/2015,PRCP,0,,,7,1630
USC00293577,3/17/2015,PRCP,0,,,7,1630
USC00305606,10/21/2015,PRCP,0,,,7,1500
USC00314788,11/5/2015,PRCP,0,,,7,0830
USC00328840,9/12/2015,PRCP,0,,,7,0500
USC00328840,11/19/2015,PRCP,0,,,7,0500
USC00353542,12/1/2015,PRCP,0,,,7,1900
USC00358246,5/24/2015,PRCP,0,,,7,0830
USC00358536,6/19/2015,PRCP,0,,,7,1830
USC00380490,12/28/2015,PRCP,0,,,7,0830
USC00380490,7/5/2015,PRCP,0,,,7,0830
USC00385290,2/16/2015,PRCP,0,,,7,0830
USC00394037,9/18/2015,PRCP,0,,,7,0630
USC00394834,3/25/2015,PRCP,0,,,7,1900
USC00395381,4/6/2015,PRCP,0,,,7,1900
USC00414810,10/27/2015,PRCP,0,,,7,0830
USC00416644,12/4/2015,PRCP,0,,,7,0830
USC00429383,6/19/2015,PRCP,0,,,7,1200
USC00474391,10/3/2015,PRCP,0,,,7,0530
USC00476510,4/4/2015,PRCP,0,,,7,0400
USC00477581,9/12/2015,PRCP,0,,,7,0630
USC00478987,2/12/2015,PRCP,0,T,,7,0830
USC00480140,2/28/2015,PRCP,0,T,,7,2000
USC00500247,10/27/2015,PRCP,0,,,7,1900
USC00500281,4/27/2015,PRCP,0,,,7,2200
USC00509793,3/11/2015,PRCP,0,,,7,2000
USC00050214,1/29/2015,SNWD,0,,,7,1900
USC00105708,3/7/2015,SNWD,0,,,7,1400
USC00123418,12/4/2015,SNWD,0,,,7,1900
USC00124613,1/1/2015,SNWD,0,,,7,0630
USC00135844,9/24/2015,SNWD,0,,,7,0500
USC00136199,4/30/2015,SNWD,0,,,7,0630
USC00202423,4/13/2015,SNWD,0,,,7,0830
USC00218215,10/24/2015,SNWD,0,,,7,0830
USC00240780,9/3/2015,SNWD,0,,,7,1900
USC00256200,3/18/2015,SNWD,0,,,7,0500
USC00258751,5/22/2015,SNWD,0,,,7,2200
USC00262296,5/30/2015,SNWD,0,,,7,2000
USC00265371,6/17/2015,SNWD,0,,,7,0530
USC00265818,2/4/2015,SNWD,0,,,7,2000
USC00300443,12/5/2015,SNWD,0,,,7,1500
USC00308132,8/16/2015,SNWD,0,,,7,1900
USC00332098,6/1/2015,SNWD,0,,,7,0830
USC00354835,4/19/2015,SNWD,0,,,7,1000
USC00415954,11/26/2015,SNWD,0,,,7,0630
USC00415954,10/24/2015,SNWD,0,,,7,0630
USC00437607,12/3/2015,SNWD,0,,,7,2100
USC00474391,9/17/2015,SNWD,0,,,7,0530
USC00477092,7/26/2015,SNWD,0,,,7,0830
USC00478987,11/6/2015,SNWD,0,,,7,0830
USC00508615,7/11/2015,SNWD,0,,,7,2000
USC00509793,10/27/2015,SNWD,0,,,7,2000
USC00333780,3/23/2015,TMAX,0,,,7,0830
USC00043855,1/11/2015,TMIN,0,,,7,0630
USC00305606,1/2/2015,TMIN,0,,,7,1500
USC00489580,12/9/2015,TMIN,0,,,7,1830
USC00506581,5/14/2015,TMIN,0,,,7,2300
USC00477226,4/4/2015,TOBS,0,,,7,0500
USC00448084,9/15/2015,WESD,0,,,7,1300
USC00010178,7/11/2015,PRCP,0,,,7,1000
USC00011490,12/20/2015,PRCP,0,,,7,0530
USC00013818,1/11/2015,PRCP,0,,,7,0500
USC00020288,9/17/2015,PRCP,0,,,7,1630
USC00027398,11/30/2015,PRCP,0,,,7,0830
USC00028012,5/19/2015,PRCP,0,,,7,1830
USC00029464,8/9/2015,PRCP,0,,,7,2100
USC00043855,7/9/2015,PRCP,0,,,7,0630
USC00043855,10/4/2015,PRCP,0,,,7,0630
USC00046027,7/24/2015,PRCP,0,,,7,1400
USC00053553,8/30/2015,PRCP,0,,,7,1630
USC00098666,5/30/2015,PRCP,0,,,7,0830
USC00123418,7/28/2015,PRCP,0,,,7,1900
